NAME                                                                      IMAGE REFERENCE
sha256:13577236b039ed11e9f1070f884e9836e731944575de2ee59b290b05e08ad5f8   registry.redhat.io/fuse7/fuse-karaf-openshift@sha256:13577236b039ed11e9f1070f884e9836e731944575de2ee59b290b05e08ad5f8
sha256:159bd41d20cdf42991c5a3e947c5dcc121c96555995a18a2b9b755c6e7d32a10   registry.redhat.io/fuse7/fuse-console@sha256:159bd41d20cdf42991c5a3e947c5dcc121c96555995a18a2b9b755c6e7d32a10
sha256:1651133e98ae8de669c6b7f466b40e3f23e176f16d63bee5f48dba1af87bc005   registry.redhat.io/ubi8/openjdk-8@sha256:1651133e98ae8de669c6b7f466b40e3f23e176f16d63bee5f48dba1af87bc005
sha256:178413d4a4e9c0ca6629b2a8a69b8c0f3309f675289e1aced5de9a348424b4fb   registry.redhat.io/fuse7/fuse-console@sha256:178413d4a4e9c0ca6629b2a8a69b8c0f3309f675289e1aced5de9a348424b4fb
sha256:19b41b58dd04cff1fee28176781bf3243fc140d54a0a0f010843a5fc61557536   registry.redhat.io/jboss-webserver-3/webserver31-tomcat7-openshift@sha256:19b41b58dd04cff1fee28176781bf3243fc140d54a0a0f010843a5fc61557536
sha256:1aad521252216e9b913e4c65d9635f0a5f6b9d2e16cb03aed1e218cf9eb94b68   registry.redhat.io/rhel8/postgresql-10@sha256:1aad521252216e9b913e4c65d9635f0a5f6b9d2e16cb03aed1e218cf9eb94b68
sha256:1acc349748d65ca7bdd7689a2b5762e1bb81dd1ba7038e2a75c0f31099f3854d   registry.redhat.io/3scale-amp23/apicast-gateway@sha256:1acc349748d65ca7bdd7689a2b5762e1bb81dd1ba7038e2a75c0f31099f3854d
sha256:1ae980839d5cb33cfcdc6dbf1b8e690150838c6fd90ac37dc3f631d2730eea9a   registry.redhat.io/ubi7/nodejs-12@sha256:1ae980839d5cb33cfcdc6dbf1b8e690150838c6fd90ac37dc3f631d2730eea9a
sha256:1bd08902cb75482a92a1fba830618ffac0037856223460df86984aaefa1bcad8   registry.access.redhat.com/ubi8/dotnet-21-runtime@sha256:1bd08902cb75482a92a1fba830618ffac0037856223460df86984aaefa1bcad8
sha256:1d526f710f53ea2805441bbd04057242715d6fe2c91257b1ccd53c7a72c499be   registry.redhat.io/fuse7/fuse-java-openshift@sha256:1d526f710f53ea2805441bbd04057242715d6fe2c91257b1ccd53c7a72c499be
sha256:1d68b58a73f4cf15fcd886ab39fddf18be923b52b24cb8ec3ab1da2d3e9bd5f6   registry.redhat.io/openjdk/openjdk-11-rhel7@sha256:1d68b58a73f4cf15fcd886ab39fddf18be923b52b24cb8ec3ab1da2d3e9bd5f6
sha256:1fe8afafb4a8cfe086dd3c3f59fc717ccc8924e570deaed38f4751962aed4211   registry.redhat.io/fuse7/fuse-java-openshift@sha256:1fe8afafb4a8cfe086dd3c3f59fc717ccc8924e570deaed38f4751962aed4211
sha256:2086cfe8d36eecd0b63d4619a091142a1a172e2c5082b8c6b2fb7a23e1a7a17c   registry.redhat.io/jboss-decisionserver-6/decisionserver64-openshift@sha256:2086cfe8d36eecd0b63d4619a091142a1a172e2c5082b8c6b2fb7a23e1a7a17c
sha256:20b784e6fe07586d6b9df13933b536a8f873d137c930e73ec66215389ba86557   registry.redhat.io/jboss-eap-7-tech-preview/eap-cd-openshift@sha256:20b784e6fe07586d6b9df13933b536a8f873d137c930e73ec66215389ba86557
